outcome_id,outcome_var,outcome_label,family,tier,multiplicity_family,paper_order,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
D01,treat_16,Treatment through 2016: source-cohort universe,design,design,design,-4,common_h_ccpp_equal,first_stage,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,110940,8966,4078,42,23,65,.8574800064384238,.99320281,.2101917,2.2986237e-06,.58123463,1.4051709,.3333333333333333,.47143081,2.106783775864606,1.232916,2.9806514,,,,,,,,0,,
D02,treat_16,Treatment through 2016: complete primary sample,design,design,design,-3,common_h_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,54317,3693,1760,39,22,61,.838129421341959,.9636364,.21509227,7.4605628e-06,.5420633,1.3852094,.3333333333333333,.47146836,2.043904656591828,1.1497341,2.9380751,,,,,,,,0,,
D03,treat_16,Treatment through 2016: person-equal sensitivity,design,design,design,-2,common_h_primary_person_equal,first_stage,rdrobust,selected_bc_primary_individual,person_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,54317,3693,1760,39,22,61,.6729535035325654,.69990438,.41204822,.08939492,-.10769532,1.5075041,.3669103709721094,.48202705,1.452002288680259,-.22342174,3.1274264,,,,,,,,0,,
D04,treat_16,Treatment through 2016: treatment-based MSE selector,design,design,design,-1,mserd_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,mserd,,.006455867944473,.006455868,.012463976,.012463976,1,54317,3460,1346,34,17,51,.7909329343166527,.88651717,.22613955,.000088467554,.44329178,1.3297426,.2941176470588235,.45571095,1.945349695011308,.97274774,2.9179516,,,,,,,,0,,
D05,census2017_linked,Source-cohort person linked to Census 2017,linkage,design,design,-.8,common_h_census_linked,selection,rdrobust,selected_bc_source_cohort,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,110940,8966,4078,42,23,65,-7.535993723258394,-8.2794437,13.738722,.54675108,-35.206844,18.647957,76.9810353207495,42.097759,-.1966718414823084,-.83631158,.44296789,,,,,,,,0,,
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,52563,3393,1760,37,22,59,6.784922103768295,7.3655925,4.8022799,.12508628,-2.0467033,16.777887,55.42002038884672,49.712692,.1481632146200264,-.041170642,.33749706,.9401559597086325,1.0889155,.1713306,40.394154,,,,0,.7505176663398743,.3335634072621663
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_cr1_ccpp,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,6.82571441616057,7.5516171,4.9440804,.12666012,-2.138602,17.241837,55.22549597189935,49.732925,.1518434105857502,-.043001734,.34668857,.838129421341959,.9636364,.20691124,21.689934,,,,0,.8866208642721176,.3253219366073609
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_cr2_district,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,43,6.82571441616057,7.5516171,5.2514882,.15043531,-2.741111,17.844345,55.22549597189935,49.732925,.1518434105857502,-.055116624,.35880345,.838129421341959,.9636364,.21669541,19.775475,,,,0,1,.360713005065918
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_cr2_score,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_score,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,46,6.82571441616057,7.5516171,5.2749586,.15225907,-2.787112,17.890347,55.22549597189935,49.732925,.1518434105857502,-.056041583,.3597284,.838129421341959,.9636364,.22862765,17.76515,,,,0,1,.3271976709365845
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_cr3_ccpp,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr3 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,6.82571441616057,7.5516171,5.8939857,.20010896,-4.0003824,19.103617,55.22549597189935,49.732925,.1518434105857502,-.080437303,.38412413,.838129421341959,.9636364,.22646472,18.106115,,,,0,1,.4059656620025635
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_epanechnikov,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,epanechnikov,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,5.725381445399782,6.4708252,5.0683279,.20170182,-3.4629145,16.404566,55.22549597189935,49.732925,.1301114927776785,-.069630221,.32985321,.851749797242068,.99507815,.22245827,20.008623,,,,0,1,.4215260982513428
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_fuzzy,fuzzy_late,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,6.82571441616057,7.5516171,5.3549995,.15848081,-2.943989,18.047224,55.22549597189935,49.732925,.1518434105857502,-.059195973,.36288279,.838129421341959,.9636364,.21509227,20.07136,,,,0,1,.3604190826416016
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_person_equal,fuzzy_late,rdrobust,selected_bc_primary_individual,person_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,8.4635721962386,9.7206116,7.6433215,.20345184,-5.2600231,24.701246,53.93988627132412,49.85128,.1949922082091468,-.1055143,.49549872,.6729535035325654,.69990438,.41204822,2.8852358,,,,0,1,.8138073682785034
I01,female_2017,Female,demography,primary,primary_2017_individual,1,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,54317,3693,1760,39,22,61,5.720832073862125,7.1859069,4.5155797,.11152888,-1.6644666,16.036282,55.22549597189935,49.732925,.1444899315427075,-.033468101,.32244796,,,,,,,,0,.7553896084427834,.2084895849227905
